ID,No. of Trucks,Received Date,Data Source,Manifest of,Description of Cargo,Cargo Category,Status,Quantity,Units,Donating Country/ Organization,Donation Type,Crossing,Destination Recipient/ Partner,Data Period,Data Entry Type,Last Edited Time,,,,,,,,
75792,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,15,Pallets,CRS,Humanitarian - INGO,Western Erez,CRS,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75793,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,15,Pallets,CRS,Humanitarian - INGO,Western Erez,CRS,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75794,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,15,Pallets,CRS,Humanitarian - INGO,Western Erez,CRS,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75795,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,15,Pallets,CRS,Humanitarian - INGO,Western Erez,CRS,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75796,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,18,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75797,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,18,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75798,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,18,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75799,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,18,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75800,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,17,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75801,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,17,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75802,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,17,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75803,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,17,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75804,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,17,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75805,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,17,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75806,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,17,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75807,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,17,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75808,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,15,Pallets,UNRWA,Humanitarian - UN,Western Erez,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75809,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,25,Pallets,UNRWA,Humanitarian - UN,Western Erez,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75810,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,21,Pallets,UNRWA,Humanitarian - UN,Western Erez,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 11:51:44,,,,,,,,
75811,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,21,Pallets,UNRWA,Humanitarian - UN,Western Erez,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75812,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,20,Pallets,UNRWA,Humanitarian - UN,Western Erez,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75813,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,20,Pallets,UNRWA,Humanitarian - UN,Western Erez,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75814,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,16,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75815,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,16,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75816,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,15,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75817,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,15,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75818,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,15,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75819,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,15,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75820,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,15,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75821,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels + Hygiene Kits,Mixed Items,Received,20,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75822,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Hygiene Kits,Non-Food Items,Received,17,Pallets,CARE,Humanitarian - INGO,Western Erez,CARE,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75823,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Hygiene Kits,Non-Food Items,Received,30,Pallets,IOM,Humanitarian - UN,Western Erez,IOM,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75824,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Hygiene Kits,Non-Food Items,Received,25,Pallets,IOM,Humanitarian - UN,Western Erez,IOM,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75825,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Hygiene Kits,Non-Food Items,Received,25,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75826,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Hygiene Kits,Non-Food Items,Received,25,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75827,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Hygiene Kits,Non-Food Items,Received,25,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75828,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Hygiene Kits,Non-Food Items,Received,25,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75829,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Hygiene Kits,Non-Food Items,Received,24,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75830,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Hygiene Kits,Non-Food Items,Received,24,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
73922,1,2025-01-12,UNRWA,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
73923,1,2025-01-12,UNRWA,Non-Manifest (2025-01-12),Flour,Food Items,Received,26,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
73924,1,2025-01-12,UNRWA,Non-Manifest (2025-01-12),Flour,Food Items,Received,24,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
73925,1,2025-01-12,UNRWA,Non-Manifest (2025-01-12),Flour,Food Items,Received,30,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75742,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,15,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75743,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,15,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75744,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,15,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75745,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,15,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75746,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,15,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75747,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75748,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75749,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75750,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75751,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75752,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75753,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75754,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75755,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75756,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75757,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75758,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75759,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75771,1,2025-01-12,WFP LC,Non-Manifest (2025-01-12),Food Parcels + Flour,Food Items,Received,10,Pallets,UNRWA + WFP,Humanitarian - UN,Gate 96,UNRWA + WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
73916,1,2025-01-10,UNRWA,Non-Manifest (2025-01-10),Flour,Food Items,Received,24,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
73917,1,2025-01-10,UNRWA,Non-Manifest (2025-01-10),Flour,Food Items,Received,14,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
73918,1,2025-01-10,UNRWA,Non-Manifest (2025-01-10),Flour,Food Items,Received,12,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
73919,1,2025-01-10,UNRWA,Non-Manifest (2025-01-10),Flour,Food Items,Received,27,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
73920,1,2025-01-10,UNRWA,Non-Manifest (2025-01-10),Flour,Food Items,Received,24,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
73921,1,2025-01-10,UNRWA,Non-Manifest (2025-01-10),Flour,Food Items,Received,26,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
74189,1,2025-01-10,WFP LC,Non-Manifest (2025-01-10),Blankets,Non-Food Items,Received,19,Pallets,ICRC,Humanitarian - INGO,Western Erez,ICRC,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
74190,1,2025-01-10,WFP LC,Non-Manifest (2025-01-10),Blankets,Non-Food Items,Received,19,Pallets,ICRC,Humanitarian - INGO,Western Erez,ICRC,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
74191,1,2025-01-10,WFP LC,Non-Manifest (2025-01-10),Blankets,Non-Food Items,Received,18,Pallets,ICRC,Humanitarian - INGO,Western Erez,ICRC,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
74309,1,2025-01-10,WFP LC,Non-Manifest (2025-01-10),Flour,Food Items,Received,7,Pallets,RWW,Humanitarian - INGO,Western Erez,RWW,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
74310,1,2025-01-10,WFP LC,Non-Manifest (2025-01-10),Flour,Food Items,Received,11,Pallets,UNRWA,Humanitarian - UN,Western Erez,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
74311,1,2025-01-10,WFP LC,Non-Manifest (2025-01-10),Flour,Food Items,Received,11,Pallets,UNRWA,Humanitarian - UN,Western Erez,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
